AvgTicketPrice,Cancelled,Dest,DestAirportID,DestCityName,DestCountry,DestLocation,DestRegion,DestWeather,DistanceKilometers,DistanceMiles,FlightDelay,FlightDelayMin,FlightDelayType,FlightNum,FlightTimeHour,FlightTimeMin,Origin,OriginAirportID,OriginCityName,OriginCountry,OriginLocation,OriginRegion,OriginWeather,dayOfWeek,hour_of_day
$668.22 ,FALSE,San Francisco International Airport,SFO,San Francisco,US,"{
  ""lat"": ""37.61899948"",
  ""lon"": ""-122.375""
}",US-CA,Sunny,"10,260.84","6,375.79",FALSE,0,No Delay,TY74105,8.143523822,488.611,Naples International Airport,NA01,Naples,IT,"{
  ""lat"": ""40.886002"",
  ""lon"": ""14.2908""
}",IT-72,Sunny,5,16
$519.25 ,FALSE,Tulsa International Airport,TUL,Tulsa,US,"{
  ""lat"": ""36.19839859"",
  ""lon"": ""-95.88809967""
}",US-OK,Sunny,"4,137.26","2,570.78",FALSE,0,No Delay,95NFX0P,6.268580384,376.115,El Dorado International Airport,BOG,Bogota,CO,"{
  ""lat"": ""4.70159"",
  ""lon"": ""-74.1469""
}",SE-BD,Rain,5,16
$847.82 ,FALSE,Winnipeg / James Armstrong Richardson International Airport,YWG,Winnipeg,CA,"{
  ""lat"": ""49.90999985"",
  ""lon"": ""-97.23989868""
}",CA-MB,Sunny,"11,251.57","6,991.40",FALSE,0,No Delay,Y61ST9M,10.41811649,625.087,Dubai International Airport,DXB,Dubai,AE,"{
  ""lat"": ""25.25279999"",
  ""lon"": ""55.36439896""
}",SE-BD,Sunny,5,16
$572.58 ,FALSE,Xi'an Xianyang International Airport,XIY,Xi'an,CN,"{
  ""lat"": ""34.447102"",
  ""lon"": ""108.751999""
}",SE-BD,Clear,"3,566.19","2,215.93",FALSE,0,No Delay,K4BI402,2.83030614,169.818,Rajiv Gandhi International Airport,HYD,Hyderabad,IN,"{
  ""lat"": ""17.23131752"",
  ""lon"": ""78.42985535""
}",SE-BD,Clear,5,16
"$1,146.29 ",FALSE,Malpensa International Airport,MI12,Milan,IT,"{
  ""lat"": ""45.6306"",
  ""lon"": ""8.72811""
}",IT-25,Rain,"6,629.76","4,119.54",TRUE,285,Late Aircraft Delay,9KM3JYX,14.79508578,887.705,Lester B. Pearson International Airport,YYZ,Toronto,CA,"{
  ""lat"": ""43.67720032"",
  ""lon"": ""-79.63059998""
}",CA-ON,Rain,5,16
"$1,150.82 ",FALSE,Verona Villafranca Airport,VR10,Verona,IT,"{
  ""lat"": ""45.395699"",
  ""lon"": ""10.8885""
}",IT-34,Hail,"7,699.46","4,784.22",FALSE,0,No Delay,A3JXOW3,8.020270183,481.216,Savannah Hilton Head International Airport,SAV,Savannah,US,"{
  ""lat"": ""32.12760162"",
  ""lon"": ""-81.20210266""
}",US-GA,Sunny,5,15
$526.94 ,FALSE,OR Tambo International Airport,JNB,Johannesburg,ZA,"{
  ""lat"": ""-26.1392"",
  ""lon"": ""28.246""
}",SE-BD,Rain,"9,004.51","5,595.14",TRUE,15,NAS Delay,S9LMOSW,8.587510171,515.251,London Gatwick Airport,LGW,London,GB,"{
  ""lat"": ""51.14810181"",
  ""lon"": ""-0.190277994""
}",GB-ENG,Cloudy,5,15
$746.93 ,FALSE,London Luton Airport,LTN,London,GB,"{
  ""lat"": ""51.87469864"",
  ""lon"": ""-0.368333012""
}",GB-ENG,Cloudy,"9,687.89","6,019.77",FALSE,0,No Delay,02EKPYM,12.42036774,745.222,Cape Town International Airport,CPT,Cape Town,ZA,"{
  ""lat"": ""-33.96480179"",
  ""lon"": ""18.60169983""
}",SE-BD,Cloudy,5,15
$953.91 ,FALSE,Ukrainka Air Base,XHBU,Belogorsk,RU,"{
  ""lat"": ""51.169997"",
  ""lon"": ""128.445007""
}",RU-AMU,Sunny,"9,152.06","5,686.83",FALSE,0,No Delay,1NH90MS,8.972610279,538.357,Lester B. Pearson International Airport,YYZ,Toronto,CA,"{
  ""lat"": ""43.67720032"",
  ""lon"": ""-79.63059998""
}",CA-ON,Thunder & Lightning,5,15
"$1,044.08 ",FALSE,Lester B. Pearson International Airport,YYZ,Toronto,CA,"{
  ""lat"": ""43.67720032"",
  ""lon"": ""-79.63059998""
}",CA-ON,Sunny,"11,056.26","6,870.04",TRUE,330,Late Aircraft Delay,KJFLSXC,16.33946584,980.368,Jeju International Airport,CJU,Jeju City,KR,"{
  ""lat"": ""33.51129913"",
  ""lon"": ""126.4929962""
}",SE-BD,Rain,5,15
